model name,learning rate,dropout rate,activation function,best val loss,corres val acc,that epoch
Model_sigmoid_0,0.012730367567067146,0.25639899031237195,sigmoid,0.31285008043050766,0.8559762124131,23
Model_sigmoid_1,0.025235475097975774,0.6472952151730764,sigmoid,0.46268122643232346,0.8491079654912471,51
Model_sigmoid_2,0.04240848255403425,0.4138669604077866,sigmoid,0.32495829463005066,0.8573582377083507,28
Model_sigmoid_3,0.029516072857016826,0.28787139088536284,sigmoid,0.30968843400478363,0.859535974537231,26
Model_sigmoid_4,0.013945223176825443,0.22068781134960647,sigmoid,0.301014743745327,0.8708853337800486,41
Model_sigmoid_5,0.0055666389689184425,0.5616731030662464,sigmoid,0.41059162467718124,0.8276656336376581,3
Model_sigmoid_6,0.041079501310434384,0.78414530821506,sigmoid,0.7494554668664932,0.5843454225647039,0
Model_sigmoid_7,0.029541255778789514,0.7486903869144197,sigmoid,0.6601927876472473,0.8308066002177736,18
Model_sigmoid_8,0.017725557450284566,0.5402439484891248,sigmoid,0.3959518000483513,0.8306390820001676,15
Model_sigmoid_9,0.01958982013442143,0.34855259154239127,sigmoid,0.3405628949403763,0.8439986598542591,21
Model_sigmoid_10,0.014408631439922884,0.2693011393175179,sigmoid,0.31880486011505127,0.8593684563196248,45
Model_sigmoid_11,0.0291734272125686,0.36225338292721787,sigmoid,0.35414446145296097,0.8570232012731385,46
Model_sigmoid_12,0.04272759767961714,0.6212950157803788,sigmoid,0.41173622012138367,0.8466370717815562,25
Model_sigmoid_13,0.0060880226537188544,0.720664030528799,sigmoid,0.6393321305513382,0.8207973867158054,3
Model_sigmoid_14,0.028091344859615543,0.3061117735750794,sigmoid,0.3198753669857979,0.8618393500293157,36
Model_sigmoid_15,0.04787030298259506,0.37253178225562983,sigmoid,0.31298764795064926,0.8680375240807437,48
Model_sigmoid_16,0.01462098927319767,0.3316773030240783,sigmoid,0.3200486823916435,0.8539659938018259,38
Model_sigmoid_17,0.024344886526850355,0.34537242605962803,sigmoid,0.3266787454485893,0.8566462852835246,39
Model_sigmoid_18,0.02415941192559851,0.22949344998019716,sigmoid,0.2964543104171753,0.8680794036351454,35
Model_sigmoid_19,0.026614855526772493,0.4170648960904031,sigmoid,0.33141977339982986,0.8530865231593936,18
Model_sigmoid_20,0.01665298988428315,0.4392091619403428,sigmoid,0.3394269645214081,0.8471396264343748,14
Model_sigmoid_21,0.04803758044207617,0.4922785213164872,sigmoid,0.35804155468940735,0.8618393500293157,46
Model_sigmoid_22,0.03302874411944523,0.7708500547707677,sigmoid,0.8015073835849762,0.7797135438478935,2
Model_sigmoid_23,0.039631864561844345,0.486570847910974,sigmoid,0.3501315712928772,0.8548454644442584,31
Model_sigmoid_24,0.037488401219152145,0.22440389702789643,sigmoid,0.295722134411335,0.8695451880391992,29
Model_sigmoid_25,0.03830946899956092,0.4460840616690499,sigmoid,0.32832008600234985,0.8607504816148757,43
Model_sigmoid_26,0.03216183425189435,0.7680754688851765,sigmoid,0.7599500268697739,0.6166345590082921,0
Model_sigmoid_27,0.04241086190166179,0.36220396599865123,sigmoid,0.3222263976931572,0.8622162660189295,34
Model_sigmoid_28,0.03254618067776293,0.3142531701364187,sigmoid,0.3191663846373558,0.8589077812212078,17
Model_sigmoid_29,0.02638641103180589,0.6560411982471273,sigmoid,0.4597031846642494,0.8304296842281598,22
Model_sigmoid_30,0.0442122044537634,0.6078670126968486,sigmoid,0.43564413487911224,0.8365440991707849,21
Model_sigmoid_31,0.014760248147251156,0.7105932087354572,sigmoid,0.5802087038755417,0.8259904514615964,39
Model_sigmoid_32,0.04783590346177961,0.6382641953672484,sigmoid,0.43749742209911346,0.8429935505486221,13
Model_sigmoid_33,0.04449770447990194,0.240092542806233,sigmoid,0.29702550172805786,0.8693776698215931,37
Model_sigmoid_34,0.03416836010005323,0.745626151904297,sigmoid,0.6619304120540619,0.721794120110562,1
Model_sigmoid_35,0.027658315878657226,0.5258416575430496,sigmoid,0.38390932977199554,0.8360415445179663,28
Model_sigmoid_36,0.015798218344122084,0.7543488185399443,sigmoid,0.6312203258275986,0.7733897311332607,2
Model_sigmoid_37,0.006765026021591964,0.667766115712362,sigmoid,0.5320467501878738,0.8089454728201692,2
Model_sigmoid_38,0.023066567576949526,0.6445398057937382,sigmoid,0.47246164083480835,0.8420303207973867,31
